department,position,scale_point,annual_rat(€)
LIBRARY,SENIOR_LIBRARY_ASSISTANT,1,"39,337"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,2,"39,808"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,3,"40,882"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,4,"41,881"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,5,"42,439"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,6,"44,325"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,7,"45,156"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,8,"46,242"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,9,"47,587"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,10,"48,932"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,11,"50,539"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,12,"51,945"
LIBRARY,SENIOR_LIBRARY_ASSISTANT,13,"53,657"

LIBRARY,LIBRARY_ASSISTANT,1,"33,703"
LIBRARY,LIBRARY_ASSISTANT,2,"35,429"
LIBRARY,LIBRARY_ASSISTANT,3,"36,934"
LIBRARY,LIBRARY_ASSISTANT,4,"37,881"
LIBRARY,LIBRARY_ASSISTANT,5,"39,133"
LIBRARY,LIBRARY_ASSISTANT,6,"40,055"
LIBRARY,LIBRARY_ASSISTANT,7,"41,318"
LIBRARY,LIBRARY_ASSISTANT,8,"43,868"
LIBRARY,LIBRARY_ASSISTANT,9,"45,138"
LIBRARY,LIBRARY_ASSISTANT,10,"45,798"

LIBRARY,LIBRARY_ATTENDANT,1,"33,403"
LIBRARY,LIBRARY_ATTENDANT,2,"34,054"
LIBRARY,LIBRARY_ATTENDANT,3,"36,605"
LIBRARY,LIBRARY_ATTENDANT,4,"36,966"
LIBRARY,LIBRARY_ATTENDANT,5,"36,989"
LIBRARY,LIBRARY_ATTENDANT,6,"37,352"
LIBRARY,LIBRARY_ATTENDANT,7,"37,714"
LIBRARY,LIBRARY_ATTENDANT,8,"38,072"
LIBRARY,LIBRARY_ATTENDANT,9,"38,428"
LIBRARY,LIBRARY_ATTENDANT,10,"38,443"
LIBRARY,LIBRARY_ATTENDANT,11,"38,970"
LIBRARY,LIBRARY_ATTENDANT,12,"39,512"
LIBRARY,LIBRARY_ATTENDANT,13,"40,039"
LIBRARY,LIBRARY_ATTENDANT,14,"40,230"

#INFORMATION TECHNOLOGY

INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,1,"67,132"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,2,"79,088"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,3,"82,103"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,4,"86,389"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,5,"90,697"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,6,"95,004"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,7,"99,296"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,8,"103,583"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_3,9,"107,875"

INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_2,1,"53,677"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_2,2,"55,287"
INFORMATION_TECHNOLOGY,ANALYST_PROGRAMMER_2,3,"56,903"
